no_attrib,scaling,test_size,activation,optimiser,no_epochs,batch_size,loss
4,TRUE,0.3,elu,adam,100,10,25.7409022
5,TRUE,0.3,elu,adam,100,10,14.71263183
6,TRUE,0.3,elu,adam,100,10,17.02104127
7,TRUE,0.3,elu,adam,100,10,13.40656918
8,TRUE,0.3,elu,adam,100,10,19.54422449
9,TRUE,0.3,elu,adam,100,10,11.3676542
10,TRUE,0.3,elu,adam,100,10,11.10694268
11,TRUE,0.3,elu,adam,100,10,14.69524346
1,TRUE,0.3,linear,adam,100,10,39.15040006
2,TRUE,0.3,linear,adam,100,10,30.82972311
3,TRUE,0.3,linear,adam,100,10,27.51924515
4,TRUE,0.3,linear,adam,100,10,36.18400252
5,TRUE,0.3,linear,adam,100,10,28.56003872
6,TRUE,0.3,linear,adam,100,10,26.51118299
7,TRUE,0.3,linear,adam,100,10,35.57212112
8,TRUE,0.3,linear,adam,100,10,24.60346493
9,TRUE,0.3,linear,adam,100,10,26.20423046
10,TRUE,0.3,linear,adam,100,10,32.14130562
11,TRUE,0.3,linear,adam,100,10,22.32909062
1,TRUE,0.3,relu,sgd,100,10,30.09461553
2,TRUE,0.3,relu,sgd,100,10,18.70390099
3,TRUE,0.3,relu,sgd,100,10,19.10693425
4,TRUE,0.3,relu,sgd,100,10,16.28221522
5,TRUE,0.3,relu,sgd,100,10,13.84619843
6,TRUE,0.3,relu,sgd,100,10,14.07735458
7,TRUE,0.3,relu,sgd,100,10,13.06269493
8,TRUE,0.3,relu,sgd,100,10,16.78046457
9,TRUE,0.3,relu,sgd,100,10,14.85569271
10,TRUE,0.3,relu,sgd,100,10,24.14951796
11,TRUE,0.3,relu,sgd,100,10,10.47826511
1,TRUE,0.3,tanh,sgd,100,10,30.83913361
2,TRUE,0.3,tanh,sgd,100,10,22.24222098
3,TRUE,0.3,tanh,sgd,100,10,20.61527661
4,TRUE,0.3,tanh,sgd,100,10,11.85003622
5,TRUE,0.3,tanh,sgd,100,10,10.31559026
6,TRUE,0.3,tanh,sgd,100,10,23.87073858
7,TRUE,0.3,tanh,sgd,100,10,10.58976452
8,TRUE,0.3,tanh,sgd,100,10,14.62756358
9,TRUE,0.3,tanh,sgd,100,10,10.5538052
10,TRUE,0.3,tanh,sgd,100,10,10.73530102
11,TRUE,0.3,tanh,sgd,100,10,13.15208274
1,TRUE,0.3,sigmoid,sgd,100,10,25.0517675
2,TRUE,0.3,sigmoid,sgd,100,10,23.71772056
3,TRUE,0.3,sigmoid,sgd,100,10,18.42611554
4,TRUE,0.3,sigmoid,sgd,100,10,12.87447437
5,TRUE,0.3,sigmoid,sgd,100,10,12.7955131
6,TRUE,0.3,sigmoid,sgd,100,10,15.62242995
7,TRUE,0.3,sigmoid,sgd,100,10,13.2863883
8,TRUE,0.3,sigmoid,sgd,100,10,11.31249177
9,TRUE,0.3,sigmoid,sgd,100,10,18.14899226
